Description,type,patient,period,is_other_cell,is_CD4_T_cell,is_CD8_T_cell,is_B_cell,is_myeloid_cell,is_proinflammatory_factor,Response,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,RF,tpm,contactCount,atac_count,id
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_DN,ART_long,ART,long,0,0,0,0,0,0,1,0.029585798816568,0.00398033247483025,0.000575869,0.031646459,0.028007739,5976/54878/10992/23355/23013,5,7.43299686738601,16.3078280046681,17.4902302368535,231,1
GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_DN,ART_long,ART,long,0,0,0,1,0,1,1,0.0414201183431953,0.00927183329431047,0.001031324,0.031646459,0.028007739,57690/727957/55187/23064/4700/6777/7409,7,4.46730619807543,15.5526929644108,46.9208736310757,461,2
GSE10325_CD4_TCELL_VS_BCELL_UP,ART_long,ART,long,0,1,1,0,0,0,2,0.0532544378698225,0.00927183329431047,2.94e-05,0.005149227,0.004557167,3655/1786/3560/23102/5305/6197/6777/50852/51176,9,5.74367939752555,14.2823624646537,23.513778882155,1120,3
GSE10325_CD4_TCELL_VS_MYELOID_UP,ART_long,ART,long,0,1,0,0,1,0,2,0.0414201183431953,0.00931866073519082,0.001061934,0.031646459,0.028007739,3655/1786/6767/3560/50852/51176/10055,7,4.44485742321073,13.1580878089523,22.8871950192395,799,4
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP,ART_long,ART,long,0,1,0,1,0,0,2,0.0414201183431953,0.00931866073519082,0.001061934,0.031646459,0.028007739,3655/1786/23102/6777/50852/51176/51735,7,4.44485742321073,10.9440758217667,17.3400573509014,797,5
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP,ART_long,ART,long,0,1,0,0,1,0,2,0.0591715976331361,0.00931866073519082,4.36e-06,0.0024884,0.002202283,3655/6767/3560/5533/60468/6777/1911/51176/51735/9402,10,6.34979631887247,14.1417858597151,24.2438886061875,1033,6
GSE11057_CD4_CENT_MEM_VS_PBMC_UP,ART_long,ART,long,0,1,0,0,1,0,2,0.0414201183431953,0.00922500585343011,0.001001413,0.031646459,0.028007739,4363/8832/23048/55870/6777/2035/1911,7,4.48998287928393,18.0807373038507,33.1346138572137,823,7
GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN,ART_long,ART,long,0,1,0,0,0,0,1,0.0650887573964497,0.00880355888550691,3.17e-07,0.001284409,0.001136727,4363/10144/753/5533/26036/55870/9736/23077/51176/22866/10055,11,7.3934596500063,8.82299320502489,24.5699678389942,1383,8
GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_DN,ART_long,ART,long,0,1,0,0,0,0,1,0.0532544378698225,0.00931866073519082,3.06e-05,0.005149227,0.004557167,4967/4363/23406/8826/8832/196/9693/4026/10788,9,5.71481668698522,10.8776386004131,27.7483704380508,984,9
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN,ART_long,ART,long,0,1,0,0,0,0,1,0.0532544378698225,0.00927183329431047,2.94e-05,0.005149227,0.004557167,4967/23406/255231/8826/8832/196/4026/3560/10788,9,5.74367939752555,14.3091324314631,27.8167088304195,924,10
GSE11057_PBMC_VS_MEM_CD4_TCELL_DN,ART_long,ART,long,0,1,0,0,1,0,1,0.0414201183431953,0.00922500585343011,0.001001413,0.031646459,0.028007739,8832/5533/9267/6777/50852/2035/1911,7,4.48998287928393,17.9194412531424,24.0728189932216,620,11
GSE11386_NAIVE_VS_MEMORY_BCELL_DN,ART_long,ART,long,0,0,0,1,0,0,1,0.0473372781065089,0.00744556309997659,4.01e-05,0.006258326,0.005538742,64324/60468/55870/8672/23077/51176/7982/84186,8,6.35778348405344,8.5466822715859,27.609632441945,1106,12
GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_UP,ART_long,ART,long,0,0,0,1,0,0,2,0.0532544378698225,0.00936548817607118,3.18e-05,0.005149227,0.004557167,8826/26207/976/3716/79745/55870/10129/6645/23163,9,5.6862426035503,13.5553839744621,29.2969111131737,1108,13
GSE12003_MIR223_KO_VS_WT_BM_PROGENITOR_4D_CULTURE_UP,ART_long,ART,long,1,0,0,0,0,0,2,0.0414201183431953,0.00936548817607118,0.001093254,0.031646459,0.028007739,4215/60468/3716/9736/23077/51176/51735,7,4.42263313609467,14.558902020934,19.2535047411108,911,14
GSE12366_GC_BCELL_VS_PLASMA_CELL_UP,ART_long,ART,long,0,0,0,1,0,0,2,0.0414201183431953,0.00922500585343011,0.001001413,0.031646459,0.028007739,26528/817/60468/6777/9736/1399/10055,7,4.48998287928393,11.7376125241328,24.1486718008216,1043,15
GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_DN,ART_long,ART,long,0,0,0,1,0,0,1,0.0414201183431953,0.00931866073519082,0.001061934,0.031646459,0.028007739,10163/8289/405/64421/10096/6197/1399,7,4.44485742321073,14.9501187031034,23.798286112724,491,16
GSE12392_IFNAR_KO_VS_IFNB_KO_CD8_NEG_SPLEEN_DC_UP,ART_long,ART,long,0,0,0,0,1,1,2,0.0414201183431953,0.00931866073519082,0.001061934,0.031646459,0.028007739,1786/65117/5533/29123/9267/51735/55818,7,4.44485742321073,16.999568529632,27.9751759080848,875,17
GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN,ART_long,ART,long,0,0,0,1,0,0,1,0.0414201183431953,0.00931866073519082,0.001061934,0.031646459,0.028007739,65117/60468/7251/6777/9736/23013/10055,7,4.44485742321073,13.2472461683994,15.2980301982231,969,18
GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_DN,ART_long,ART,long,0,0,0,1,0,0,1,0.0532544378698225,0.00931866073519082,3.06e-05,0.005149227,0.004557167,22992/65117/4026/9962/23112/976/8672/9698/23013,9,5.71481668698522,15.7050283964961,29.2278808828515,1090,19
GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_UP,ART_long,ART,long,0,0,0,1,1,0,2,0.0591715976331361,0.00917817841254975,3.81e-06,0.0024884,0.002202283,11165/5976/60468/9466/976/64421/23064/23355/54856/1911,10,6.44698707885521,9.74669483743915,21.0560894673386,703,20
GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_UP,ART_long,ART,long,0,0,0,1,1,0,2,0.0473372781065089,0.00936548817607118,0.000198395,0.012943026,0.011454832,11165/26065/55187/64421/6197/57711/51735/55818,8,5.05443786982248,10.4409072096747,17.0814169326495,506,21
GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_DN,ART_long,ART,long,0,1,0,0,0,0,1,0.0414201183431953,0.00927183329431047,0.001031324,0.031646459,0.028007739,10048/753/4026/3560/976/8742/4700,7,4.46730619807543,17.8272773307016,31.9647416657,684,22
GSE13738_TCR_VS_BYSTANDER_ACTIVATED_CD4_TCELL_DN,ART_long,ART,long,0,1,0,0,0,0,1,0.0473372781065089,0.00927183329431047,0.000185253,0.012943026,0.011454832,3655/10144/196/57494/9267/23365/55683/23013,8,5.10549279780049,11.5146314109076,23.0992029716908,765,23
GSE14308_TH17_VS_NATURAL_TREG_DN,ART_long,ART,long,1,0,0,0,0,0,2,0.0414201183431953,0.00936548817607118,0.001093254,0.031646459,0.028007739,4967/57521/79956/146691/23355/23077/114799,7,4.42263313609467,6.34222837410985,37.766892878948,763,24
GSE14350_TREG_VS_TEFF_UP,ART_long,ART,long,1,0,0,0,0,0,2,0.0532544378698225,0.00931866073519082,3.06e-05,0.005149227,0.004557167,57153/9466/26036/29123/55870/9698/50852/51735/1399,9,5.71481668698522,19.480311957377,26.8542246479655,913,25
